Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register,Chrome 108.0.0.0,,,2023-01-07 19:42:56,2023-01-07 19:44:17,1m - 21.674s,PASSED
,,,,,,,
Test Cases/Register/TC-A1-001,Chrome 108.0.0.0,Register akun dengan menginputkan email yang bukan formatnya,,2023-01-07 19:42:56,2023-01-07 19:43:09,13.099s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2023-01-07 19:42:56,2023-01-07 19:43:00,3.080s,PASSED
"navigateToUrl(""https://bioskoponline.com/"")",Chrome 108.0.0.0,,,2023-01-07 19:43:00,2023-01-07 19:43:04,4.662s,PASSED
"click(findTestObject(""TC-A1-001/Page_Bioskop Online/span_Daftar""))",Chrome 108.0.0.0,,,2023-01-07 19:43:04,2023-01-07 19:43:06,1.695s,PASSED
"setText(findTestObject(""TC-A1-001/Page_Bioskop Online/input__name""), ""Afsyus Salaam"")",Chrome 108.0.0.0,,,2023-01-07 19:43:06,2023-01-07 19:43:07,1.518s,PASSED
"setText(findTestObject(""TC-A1-001/Page_Bioskop Online/input__email""), ""afsyussalaam@"")",Chrome 108.0.0.0,,,2023-01-07 19:43:07,2023-01-07 19:43:08,1.053s,PASSED
"click(findTestObject(""TC-A1-001/Page_Bioskop Online/div_Email harus mengandung""))",Chrome 108.0.0.0,,,2023-01-07 19:43:08,2023-01-07 19:43:09,0.543s,PASSED
,,,,,,,
Test Cases/Register/TC-A1-002,Chrome 108.0.0.0,Register akun dengan menginputkan email yang bukan formatnya,,2023-01-07 19:43:09,2023-01-07 19:43:24,14.703s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2023-01-07 19:43:09,2023-01-07 19:43:11,2.029s,PASSED
"navigateToUrl(""https://bioskoponline.com/"")",Chrome 108.0.0.0,,,2023-01-07 19:43:11,2023-01-07 19:43:13,1.559s,PASSED
"click(findTestObject(""TC-A1-001/Page_Bioskop Online/span_Daftar""))",Chrome 108.0.0.0,,,2023-01-07 19:43:13,2023-01-07 19:43:18,4.998s,PASSED
"setText(findTestObject(""TC-A1-001/Page_Bioskop Online/input__name""), ""Afsyus Salaam"")",Chrome 108.0.0.0,,,2023-01-07 19:43:18,2023-01-07 19:43:19,1.472s,PASSED
"setText(findTestObject(""TC-A1-001/Page_Bioskop Online/input__email""), ""afsyussalaam@gmail.com"")",Chrome 108.0.0.0,,,2023-01-07 19:43:19,2023-01-07 19:43:21,1.186s,PASSED
"setText(findTestObject(""TC-A1-001/Page_Bioskop Online/input__phone""), ""081310490881"")",Chrome 108.0.0.0,,,2023-01-07 19:43:21,2023-01-07 19:43:22,0.910s,PASSED
"setEncryptedText(findTestObject(""TC-A1-001/Page_Bioskop Online/input__w-1112 border-b bg-transparent focus_7b9b6f""), ""iFGeFYmXIrUhQZHvW7P22w=="")",Chrome 108.0.0.0,,,2023-01-07 19:43:22,2023-01-07 19:43:22,0.638s,PASSED
"click(findTestObject(""TC-A1-001/Page_Bioskop Online/span_Lanjutkan""))",Chrome 108.0.0.0,,,2023-01-07 19:43:22,2023-01-07 19:43:23,0.648s,PASSED
"click(findTestObject(""TC-A1-001/Page_Bioskop Online/div_Email yang kamu masukkan sudah terdaftar""))",Chrome 108.0.0.0,,,2023-01-07 19:43:23,2023-01-07 19:43:24,0.855s,PASSED
